behaviour_type,behaviour_name,depth_bin_order,depth_bin_label,user_count,purchase_user_count,purchase_rate
1,View,1,0,0,0,
1,View,2,1,4,0,0.000000
1,View,3,2-3,17,3,0.176471
1,View,4,4-7,19,2,0.105263
1,View,5,8-15,64,24,0.375000
1,View,6,16-31,144,75,0.520833
1,View,7,32-63,283,166,0.586572
1,View,8,64+,9469,8616,0.909917
2,Favorite,1,0,3270,2630,0.804281
2,Favorite,2,1,1285,1160,0.902724
2,Favorite,3,2-3,1146,1058,0.923211
2,Favorite,4,4-7,869,808,0.929804
2,Favorite,5,8-15,779,714,0.916560
2,Favorite,6,16-31,805,750,0.931677
2,Favorite,7,32-63,771,734,0.952010
2,Favorite,8,64+,1075,1032,0.960000
3,Cart,1,0,1386,852,0.614719
3,Cart,2,1,635,512,0.806299
3,Cart,3,2-3,886,784,0.884876
3,Cart,4,4-7,1102,986,0.894737
3,Cart,5,8-15,1459,1356,0.929404
3,Cart,6,16-31,1588,1513,0.952771
3,Cart,7,32-63,1404,1365,0.972222
3,Cart,8,64+,1540,1518,0.985714
