current_behaviour_order,current_behaviour_name,next_action_order,next_action_name,transition_count,transition_probability
1,View,1,View,10943190,0.947415
1,View,2,Favorite,215420,0.018650
1,View,3,Cart,291459,0.025233
1,View,4,Purchase,91056,0.007883
1,View,5,Exit,9456,0.000819
2,Favorite,1,View,215420,0.888125
2,Favorite,2,Favorite,22831,0.094127
2,Favorite,3,Cart,3146,0.012970
2,Favorite,4,Purchase,1039,0.004284
2,Favorite,5,Exit,120,0.000495
3,Cart,1,View,291118,0.847347
3,Cart,2,Favorite,3065,0.008921
3,Cart,3,Cart,37395,0.108844
3,Cart,4,Purchase,11750,0.034200
3,Cart,5,Exit,236,0.000687
4,Purchase,1,View,91374,0.760151
4,Purchase,2,Favorite,1094,0.009101
4,Purchase,3,Cart,11359,0.094497
4,Purchase,4,Purchase,16190,0.134687
4,Purchase,5,Exit,188,0.001564
