activity_date,weekday_number,day_type,behaviour_type,behaviour_name,action_count,view_user_count,purchase_user_count,purchase_rate
2025-11-18,2,Weekday,1,View,345855,6340,1539,0.242744
2025-11-18,2,Weekday,2,Favorite,6904,6340,1539,0.242744
2025-11-18,2,Weekday,3,Cart,10212,6340,1539,0.242744
2025-11-18,2,Weekday,4,Purchase,3730,6340,1539,0.242744
2025-11-19,3,Weekday,1,View,337870,6418,1511,0.235432
2025-11-19,3,Weekday,2,Favorite,7152,6418,1511,0.235432
2025-11-19,3,Weekday,3,Cart,10115,6418,1511,0.235432
2025-11-19,3,Weekday,4,Purchase,3686,6418,1511,0.235432
2025-11-20,4,Weekday,1,View,332792,6332,1492,0.235629
2025-11-20,4,Weekday,2,Favorite,7167,6332,1492,0.235629
2025-11-20,4,Weekday,3,Cart,10008,6332,1492,0.235629
2025-11-20,4,Weekday,4,Purchase,3462,6332,1492,0.235629
2025-11-21,5,Weekday,1,View,314572,6275,1330,0.211952
2025-11-21,5,Weekday,2,Favorite,6832,6275,1330,0.211952
2025-11-21,5,Weekday,3,Cart,8679,6275,1330,0.211952
2025-11-21,5,Weekday,4,Purchase,3021,6275,1330,0.211952
2025-11-22,6,Weekend,1,View,340563,6184,1411,0.228169
2025-11-22,6,Weekend,2,Favorite,7252,6184,1411,0.228169
2025-11-22,6,Weekend,3,Cart,9970,6184,1411,0.228169
2025-11-22,6,Weekend,4,Purchase,3570,6184,1411,0.228169
2025-11-23,7,Weekend,1,View,361221,6371,1436,0.225396
2025-11-23,7,Weekend,2,Favorite,7702,6371,1436,0.225396
2025-11-23,7,Weekend,3,Cart,10432,6371,1436,0.225396
2025-11-23,7,Weekend,4,Purchase,3347,6371,1436,0.225396
2025-11-24,1,Weekday,1,View,357192,6511,1524,0.234065
2025-11-24,1,Weekday,2,Favorite,7333,6511,1524,0.234065
2025-11-24,1,Weekday,3,Cart,10391,6511,1524,0.234065
2025-11-24,1,Weekday,4,Purchase,3426,6511,1524,0.234065
2025-11-25,2,Weekday,1,View,349392,6346,1497,0.235897
2025-11-25,2,Weekday,2,Favorite,7492,6346,1497,0.235897
2025-11-25,2,Weekday,3,Cart,9891,6346,1497,0.235897
2025-11-25,2,Weekday,4,Purchase,3464,6346,1497,0.235897
2025-11-26,3,Weekday,1,View,340621,6353,1487,0.234063
2025-11-26,3,Weekday,2,Favorite,7324,6353,1487,0.234063
2025-11-26,3,Weekday,3,Cart,9378,6353,1487,0.234063
