weekday_number,weekday_name,activity_hour,behaviour_type,behaviour_name,action_count
1,Monday,0,1,View,57580
1,Monday,0,2,Favorite,1522
1,Monday,0,3,Cart,1474
1,Monday,0,4,Purchase,405
1,Monday,1,1,View,29501
1,Monday,1,2,Favorite,793
1,Monday,1,3,Cart,716
1,Monday,1,4,Purchase,152
1,Monday,2,1,View,15916
1,Monday,2,2,Favorite,377
1,Monday,2,3,Cart,432
1,Monday,2,4,Purchase,87
1,Monday,3,1,View,10805
1,Monday,3,2,Favorite,285
1,Monday,3,3,Cart,326
1,Monday,3,4,Purchase,46
1,Monday,4,1,View,8243
1,Monday,4,2,Favorite,202
1,Monday,4,3,Cart,342
1,Monday,4,4,Purchase,15
1,Monday,5,1,View,9762
1,Monday,5,2,Favorite,282
1,Monday,5,3,Cart,300
1,Monday,5,4,Purchase,74
1,Monday,6,1,View,16115
1,Monday,6,2,Favorite,368
1,Monday,6,3,Cart,375
1,Monday,6,4,Purchase,97
1,Monday,7,1,View,29591
1,Monday,7,2,Favorite,657
1,Monday,7,3,Cart,756
1,Monday,7,4,Purchase,163
1,Monday,8,1,View,42231
1,Monday,8,2,Favorite,938
1,Monday,8,3,Cart,1034
1,Monday,8,4,Purchase,322
1,Monday,9,1,View,53502
1,Monday,9,2,Favorite,1383
1,Monday,9,3,Cart,1488
1,Monday,9,4,Purchase,700
1,Monday,10,1,View,64489
1,Monday,10,2,Favorite,1316
1,Monday,10,3,Cart,2097
1,Monday,10,4,Purchase,842
1,Monday,11,1,View,64735
1,Monday,11,2,Favorite,1451
1,Monday,11,3,Cart,2017
1,Monday,11,4,Purchase,877
1,Monday,12,1,View,68206
1,Monday,12,2,Favorite,1340
1,Monday,12,3,Cart,1999
1,Monday,12,4,Purchase,863
1,Monday,13,1,View,76861
1,Monday,13,2,Favorite,1611
1,Monday,13,3,Cart,2538
1,Monday,13,4,Purchase,983
1,Monday,14,1,View,72853
1,Monday,14,2,Favorite,1561
1,Monday,14,3,Cart,2149
1,Monday,14,4,Purchase,957
1,Monday,15,1,View,75553
1,Monday,15,2,Favorite,1737
1,Monday,15,3,Cart,2234
1,Monday,15,4,Purchase,953
1,Monday,16,1,View,69551
1,Monday,16,2,Favorite,1335
1,Monday,16,3,Cart,1970
1,Monday,16,4,Purchase,828
1,Monday,17,1,View,60597
1,Monday,17,2,Favorite,1156
1,Monday,17,3,Cart,1848
1,Monday,17,4,Purchase,645
1,Monday,18,1,View,65918
1,Monday,18,2,Favorite,1178
1,Monday,18,3,Cart,1754
1,Monday,18,4,Purchase,720
1,Monday,19,1,View,92162
1,Monday,19,2,Favorite,1717
1,Monday,19,3,Cart,2360
1,Monday,19,4,Purchase,841
1,Monday,20,1,View,118835
1,Monday,20,2,Favorite,2261
1,Monday,20,3,Cart,3305
1,Monday,20,4,Purchase,999
1,Monday,21,1,View,135736
1,Monday,21,2,Favorite,2786
1,Monday,21,3,Cart,3876
1,Monday,21,4,Purchase,1110
1,Monday,22,1,View,132506
1,Monday,22,2,Favorite,2505
1,Monday,22,3,Cart,4173
1,Monday,22,4,Purchase,1053
1,Monday,23,1,View,98760
1,Monday,23,2,Favorite,1885
1,Monday,23,3,Cart,3241
1,Monday,23,4,Purchase,786
2,Tuesday,0,1,View,71597
2,Tuesday,0,2,Favorite,1492
2,Tuesday,0,3,Cart,1818
2,Tuesday,0,4,Purchase,460
2,Tuesday,1,1,View,38829
2,Tuesday,1,2,Favorite,960
2,Tuesday,1,3,Cart,915
2,Tuesday,1,4,Purchase,167
2,Tuesday,2,1,View,23156
2,Tuesday,2,2,Favorite,648
2,Tuesday,2,3,Cart,634
2,Tuesday,2,4,Purchase,102
2,Tuesday,3,1,View,13516
2,Tuesday,3,2,Favorite,270
2,Tuesday,3,3,Cart,387
2,Tuesday,3,4,Purchase,46
2,Tuesday,4,1,View,11869
2,Tuesday,4,2,Favorite,327
2,Tuesday,4,3,Cart,295
2,Tuesday,4,4,Purchase,37
2,Tuesday,5,1,View,13276
2,Tuesday,5,2,Favorite,286
2,Tuesday,5,3,Cart,333
2,Tuesday,5,4,Purchase,77
2,Tuesday,6,1,View,22782
2,Tuesday,6,2,Favorite,485
2,Tuesday,6,3,Cart,519
2,Tuesday,6,4,Purchase,123
2,Tuesday,7,1,View,41799
2,Tuesday,7,2,Favorite,879
2,Tuesday,7,3,Cart,1017
2,Tuesday,7,4,Purchase,249
2,Tuesday,8,1,View,56149
2,Tuesday,8,2,Favorite,1143
2,Tuesday,8,3,Cart,1513
2,Tuesday,8,4,Purchase,471
2,Tuesday,9,1,View,71905
2,Tuesday,9,2,Favorite,1634
2,Tuesday,9,3,Cart,1972
2,Tuesday,9,4,Purchase,824
2,Tuesday,10,1,View,80788
2,Tuesday,10,2,Favorite,1766
2,Tuesday,10,3,Cart,2513
2,Tuesday,10,4,Purchase,1150
2,Tuesday,11,1,View,78125
2,Tuesday,11,2,Favorite,1693
2,Tuesday,11,3,Cart,2362
2,Tuesday,11,4,Purchase,1085
2,Tuesday,12,1,View,82352
2,Tuesday,12,2,Favorite,1644
2,Tuesday,12,3,Cart,2480
2,Tuesday,12,4,Purchase,1208
2,Tuesday,13,1,View,91767
2,Tuesday,13,2,Favorite,2184
2,Tuesday,13,3,Cart,2977
2,Tuesday,13,4,Purchase,1305
2,Tuesday,14,1,View,91014
2,Tuesday,14,2,Favorite,2123
2,Tuesday,14,3,Cart,2664
2,Tuesday,14,4,Purchase,1125
2,Tuesday,15,1,View,88270
2,Tuesday,15,2,Favorite,1950
2,Tuesday,15,3,Cart,2873
2,Tuesday,15,4,Purchase,1202
2,Tuesday,16,1,View,86083
2,Tuesday,16,2,Favorite,1813
2,Tuesday,16,3,Cart,2654
2,Tuesday,16,4,Purchase,1044
2,Tuesday,17,1,View,76791
2,Tuesday,17,2,Favorite,1549
2,Tuesday,17,3,Cart,2390
2,Tuesday,17,4,Purchase,763
2,Tuesday,18,1,View,80234
2,Tuesday,18,2,Favorite,1546
2,Tuesday,18,3,Cart,2224
2,Tuesday,18,4,Purchase,743
2,Tuesday,19,1,View,111356
2,Tuesday,19,2,Favorite,2132
2,Tuesday,19,3,Cart,3143
2,Tuesday,19,4,Purchase,1084
2,Tuesday,20,1,View,141778
2,Tuesday,20,2,Favorite,2677
2,Tuesday,20,3,Cart,4006
2,Tuesday,20,4,Purchase,1240
2,Tuesday,21,1,View,167988
2,Tuesday,21,2,Favorite,3455
2,Tuesday,21,3,Cart,4849
2,Tuesday,21,4,Purchase,1386
2,Tuesday,22,1,View,163179
2,Tuesday,22,2,Favorite,3261
2,Tuesday,22,3,Cart,5119
2,Tuesday,22,4,Purchase,1252
2,Tuesday,23,1,View,120356
2,Tuesday,23,2,Favorite,2802
2,Tuesday,23,3,Cart,3896
2,Tuesday,23,4,Purchase,892
3,Wednesday,0,1,View,70886
3,Wednesday,0,2,Favorite,1889
3,Wednesday,0,3,Cart,1845
3,Wednesday,0,4,Purchase,450
3,Wednesday,1,1,View,37488
3,Wednesday,1,2,Favorite,888
3,Wednesday,1,3,Cart,891
3,Wednesday,1,4,Purchase,208
3,Wednesday,2,1,View,19988
3,Wednesday,2,2,Favorite,444
