weekday_number,weekday_name,activity_hour,view_user_count,purchase_user_count,purchase_rate
1,Monday,0,2016,200,0.099206
1,Monday,1,1039,72,0.069297
1,Monday,2,589,40,0.067912
1,Monday,3,415,21,0.050602
1,Monday,4,338,13,0.038462
1,Monday,5,449,29,0.064588
1,Monday,6,986,48,0.048682
1,Monday,7,1745,117,0.067049
1,Monday,8,2437,198,0.081247
1,Monday,9,2922,334,0.114305
1,Monday,10,3322,461,0.138772
1,Monday,11,3477,446,0.128271
1,Monday,12,3660,471,0.128689
1,Monday,13,3634,519,0.142818
1,Monday,14,3395,500,0.147275
1,Monday,15,3471,497,0.143186
1,Monday,16,3445,422,0.122496
1,Monday,17,3346,394,0.117753
1,Monday,18,3499,396,0.113175
1,Monday,19,3889,467,0.120082
1,Monday,20,4266,563,0.131974
1,Monday,21,4453,606,0.136088
1,Monday,22,4153,567,0.136528
1,Monday,23,3145,404,0.128458
2,Tuesday,0,2235,207,0.092617
2,Tuesday,1,1212,74,0.061056
2,Tuesday,2,709,56,0.078984
2,Tuesday,3,497,31,0.062374
2,Tuesday,4,426,23,0.053991
2,Tuesday,5,566,32,0.056537
2,Tuesday,6,1248,75,0.060096
2,Tuesday,7,2246,148,0.065895
2,Tuesday,8,2954,256,0.086662
2,Tuesday,9,3482,443,0.127226
2,Tuesday,10,3871,626,0.161715
2,Tuesday,11,3854,569,0.147639
2,Tuesday,12,4104,594,0.144737
2,Tuesday,13,4053,605,0.149272
2,Tuesday,14,3919,595,0.151824
2,Tuesday,15,3881,605,0.155888
2,Tuesday,16,3907,555,0.142053
2,Tuesday,17,3801,441,0.116022
2,Tuesday,18,3883,435,0.112027
2,Tuesday,19,4432,559,0.126128
2,Tuesday,20,4748,672,0.141533
2,Tuesday,21,4993,728,0.145804
2,Tuesday,22,4660,638,0.136910
2,Tuesday,23,3464,422,0.121824
3,Wednesday,0,2188,244,0.111517
3,Wednesday,1,1214,104,0.085667
3,Wednesday,2,715,58,0.081119
3,Wednesday,3,517,34,0.065764
3,Wednesday,4,461,34,0.073753
3,Wednesday,5,587,29,0.049404
3,Wednesday,6,1228,69,0.056189
3,Wednesday,7,2214,153,0.069106
3,Wednesday,8,2924,292,0.099863
3,Wednesday,9,3492,432,0.123711
3,Wednesday,10,3896,601,0.154261
3,Wednesday,11,3929,565,0.143802
3,Wednesday,12,4041,584,0.144519
3,Wednesday,13,4075,614,0.150675
3,Wednesday,14,3902,576,0.147617
3,Wednesday,15,3925,577,0.147006
3,Wednesday,16,3904,534,0.136783
3,Wednesday,17,3724,460,0.123523
3,Wednesday,18,3849,419,0.108859
3,Wednesday,19,4381,530,0.120977
3,Wednesday,20,4804,670,0.139467
3,Wednesday,21,5017,729,0.145306
3,Wednesday,22,4709,595,0.126354
3,Wednesday,23,3565,427,0.119776
4,Thursday,0,2225,202,0.090787
4,Thursday,1,1193,99,0.082984
4,Thursday,2,685,50,0.072993
4,Thursday,3,511,31,0.060665
4,Thursday,4,478,27,0.056485
4,Thursday,5,560,30,0.053571
4,Thursday,6,1272,66,0.051887
4,Thursday,7,2211,136,0.061511
4,Thursday,8,2974,270,0.090787
4,Thursday,9,3468,416,0.119954
4,Thursday,10,3834,601,0.156755
4,Thursday,11,3896,565,0.145021
4,Thursday,12,4054,537,0.132462
4,Thursday,13,4058,577,0.142188
4,Thursday,14,3994,593,0.148473
4,Thursday,15,3922,574,0.146354
4,Thursday,16,3869,563,0.145516
4,Thursday,17,3823,449,0.117447
4,Thursday,18,3986,437,0.109634
4,Thursday,19,4557,520,0.114110
4,Thursday,20,4881,664,0.136038
4,Thursday,21,5180,721,0.139189
4,Thursday,22,4875,652,0.133744
4,Thursday,23,3787,462,0.121996
5,Friday,0,2487,743,0.298754
5,Friday,1,1371,284,0.207148
5,Friday,2,747,124,0.165997
5,Friday,3,543,62,0.114180
5,Friday,4,453,52,0.114790
5,Friday,5,548,72,0.131387
5,Friday,6,1307,166,0.127008
5,Friday,7,2374,352,0.148273
5,Friday,8,3070,508,0.165472
5,Friday,9,3398,621,0.182755
